,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
332,29,Caribbean,2015,Population density,192.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
333,29,Caribbean,2022,Population mid-year estimates (millions),44.05,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
334,29,Caribbean,2022,Population mid-year estimates for males (millions),21.70,"Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
335,29,Caribbean,2022,Population mid-year estimates for females (millions),22.35,"Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
336,29,Caribbean,2022,Sex ratio (males per 100 females),97.1,"Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
337,29,Caribbean,2022,Population aged 0 to 14 years old (percentage),23.1,"Calculated by the UN Statistics Division.;Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
338,29,Caribbean,2022,Population aged 60+ years old (percentage),15.2,"Calculated by the UN Statistics Division.;Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
339,29,Caribbean,2022,Population density,198.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
340,29,Caribbean,2022,Surface area (thousand km2),226,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
341,29,Caribbean,2024,Population mid-year estimates (millions),44.44,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
342,29,Caribbean,2024,Population mid-year estimates for males (millions),21.87,"Projected estimate (medium fertility variant).;Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
343,29,Caribbean,2024,Population mid-year estimates for females (millions),22.57,"Projected estimate (medium fertility variant).;Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
344,29,Caribbean,2024,Sex ratio (males per 100 females),96.9,"Projected estimate (medium fertility variant).;Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
345,29,Caribbean,2024,Population aged 0 to 14 years old (percentage),22.5,"Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
346,29,Caribbean,2024,Population aged 60+ years old (percentage),16.1,"Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
347,29,Caribbean,2024,Population density,200.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
348,13,Central America,2010,Population mid-year estimates (millions),156.80,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
349,13,Central America,2010,Population mid-year estimates for males (millions),76.88,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
350,13,Central America,2010,Population mid-year estimates for females (millions),79.92,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
351,13,Central America,2010,Sex ratio (males per 100 females),96.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
352,13,Central America,2010,Population aged 0 to 14 years old (percentage),31.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
353,13,Central America,2010,Population aged 60+ years old (percentage),8.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
354,13,Central America,2010,Population density,63.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
355,13,Central America,2015,Population mid-year estimates (millions),167.75,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
356,13,Central America,2015,Population mid-year estimates for males (millions),82.17,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
357,13,Central America,2015,Population mid-year estimates for females (millions),85.58,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
358,13,Central America,2015,Sex ratio (males per 100 females),96.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
359,13,Central America,2015,Population aged 0 to 14 years old (percentage),29.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
360,13,Central America,2015,Population aged 60+ years old (percentage),9.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
361,13,Central America,2015,Population density,68.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
362,13,Central America,2022,Population mid-year estimates (millions),179.82,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
363,13,Central America,2022,Population mid-year estimates for males (millions),87.73,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
364,13,Central America,2022,Population mid-year estimates for females (millions),92.09,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
365,13,Central America,2022,Sex ratio (males per 100 females),95.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
366,13,Central America,2022,Population aged 0 to 14 years old (percentage),26.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
367,13,Central America,2022,Population aged 60+ years old (percentage),10.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
368,13,Central America,2022,Population density,73.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
369,13,Central America,2022,Surface area (thousand km2),"2,452",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
370,13,Central America,2024,Population mid-year estimates (millions),183.41,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
371,13,Central America,2024,Population mid-year estimates for males (millions),89.45,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
372,13,Central America,2024,Population mid-year estimates for females (millions),93.96,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
373,13,Central America,2024,Sex ratio (males per 100 females),95.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
374,13,Central America,2024,Population aged 0 to 14 years old (percentage),25.6,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
375,13,Central America,2024,Population aged 60+ years old (percentage),11.4,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
376,13,Central America,2024,Population density,74.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
377,5,South America,2010,Population mid-year estimates (millions),390.70,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
378,5,South America,2010,Population mid-year estimates for males (millions),193.80,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
379,5,South America,2010,Population mid-year estimates for females (millions),196.90,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
380,5,South America,2010,Sex ratio (males per 100 females),98.4,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
381,5,South America,2010,Population aged 0 to 14 years old (percentage),26.3,Calculated by the UN Statistics Division.;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
382,5,South America,2010,Population aged 60+ years old (percentage),10.4,Calculated by the UN Statistics Division.;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
383,5,South America,2010,Population density,22.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
384,5,South America,2015,Population mid-year estimates (millions),409.62,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
385,5,South America,2015,Population mid-year estimates for males (millions),202.92,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
386,5,South America,2015,Population mid-year estimates for females (millions),206.70,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
387,5,South America,2015,Sex ratio (males per 100 females),98.2,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
388,5,South America,2015,Population aged 0 to 14 years old (percentage),24.3,Calculated by the UN Statistics Division.;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
389,5,South America,2015,Population aged 60+ years old (percentage),12.0,Calculated by the UN Statistics Division.;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
390,5,South America,2015,Population density,23.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
391,5,South America,2022,Population mid-year estimates (millions),430.49,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
392,5,South America,2022,Population mid-year estimates for males (millions),212.77,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
393,5,South America,2022,Population mid-year estimates for females (millions),217.73,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
394,5,South America,2022,Sex ratio (males per 100 females),97.7,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
395,5,South America,2022,Population aged 0 to 14 years old (percentage),21.9,Calculated by the UN Statistics Division.;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
396,5,South America,2022,Population aged 60+ years old (percentage),14.5,Calculated by the UN Statistics Division.;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
397,5,South America,2022,Population density,24.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
398,5,South America,2022,Surface area (thousand km2),"17,461",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
399,5,South America,2024,Population mid-year estimates (millions),435.61,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
400,5,South America,2024,Population mid-year estimates for males (millions),215.19,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
401,5,South America,2024,Population mid-year estimates for females (millions),220.42,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
402,5,South America,2024,Sex ratio (males per 100 females),97.6,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
403,5,South America,2024,Population aged 0 to 14 years old (percentage),21.2,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
404,5,South America,2024,Population aged 60+ years old (percentage),15.3,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
405,5,South America,2024,Population density,24.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
406,142,Asia,2010,Population mid-year estimates (millions),"4,239.82",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
407,142,Asia,2010,Population mid-year estimates for males (millions),"2,162.21",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
408,142,Asia,2010,Population mid-year estimates for females (millions),"2,077.61",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
409,142,Asia,2010,Sex ratio (males per 100 females),104.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
410,142,Asia,2010,Population aged 0 to 14 years old (percentage),26.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
411,142,Asia,2010,Population aged 60+ years old (percentage),10.1,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
412,142,Asia,2010,Population density,135.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
413,142,Asia,2015,Population mid-year estimates (millions),"4,483.31",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
414,142,Asia,2015,Population mid-year estimates for males (millions),"2,286.12",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
415,142,Asia,2015,Population mid-year estimates for females (millions),"2,197.19",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
416,142,Asia,2015,Sex ratio (males per 100 females),104.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
417,142,Asia,2015,Population aged 0 to 14 years old (percentage),25.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
418,142,Asia,2015,Population aged 60+ years old (percentage),11.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
419,142,Asia,2015,Population density,142.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
420,142,Asia,2022,Population mid-year estimates (millions),"4,747.66",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
421,142,Asia,2022,Population mid-year estimates for males (millions),"2,415.86",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
422,142,Asia,2022,Population mid-year estimates for females (millions),"2,331.80",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
423,142,Asia,2022,Sex ratio (males per 100 females),103.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
424,142,Asia,2022,Population aged 0 to 14 years old (percentage),23.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
425,142,Asia,2022,Population aged 60+ years old (percentage),13.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
426,142,Asia,2022,Population density,151.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
427,142,Asia,2022,Surface area (thousand km2),"31,033",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
428,142,Asia,2024,Population mid-year estimates (millions),"4,806.90",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
429,142,Asia,2024,Population mid-year estimates for males (millions),"2,443.96",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
430,142,Asia,2024,Population mid-year estimates for females (millions),"2,362.94",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
431,142,Asia,2024,Sex ratio (males per 100 females),103.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
432,142,Asia,2024,Population aged 0 to 14 years old (percentage),22.6,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
433,142,Asia,2024,Population aged 60+ years old (percentage),14.5,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
434,142,Asia,2024,Population density,153.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
435,143,Central Asia,2010,Population mid-year estimates (millions),63.93,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
436,143,Central Asia,2010,Population mid-year estimates for males (millions),31.47,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
437,143,Central Asia,2010,Population mid-year estimates for females (millions),32.46,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
438,143,Central Asia,2010,Sex ratio (males per 100 females),96.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
439,143,Central Asia,2010,Population aged 0 to 14 years old (percentage),29.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
440,143,Central Asia,2010,Population aged 60+ years old (percentage),7.1,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
441,143,Central Asia,2010,Population density,16.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
442,143,Central Asia,2015,Population mid-year estimates (millions),69.70,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
443,143,Central Asia,2015,Population mid-year estimates for males (millions),34.39,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
444,143,Central Asia,2015,Population mid-year estimates for females (millions),35.30,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
445,143,Central Asia,2015,Sex ratio (males per 100 females),97.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
446,143,Central Asia,2015,Population aged 0 to 14 years old (percentage),29.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
447,143,Central Asia,2015,Population aged 60+ years old (percentage),7.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
448,143,Central Asia,2015,Population density,17.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
449,143,Central Asia,2024,Population mid-year estimates (millions),82.23,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
450,143,Central Asia,2024,Population mid-year estimates for males (millions),40.81,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
451,143,Central Asia,2024,Population mid-year estimates for females (millions),41.42,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
452,143,Central Asia,2024,Sex ratio (males per 100 females),98.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
